start_time,src_ip,src_port,dst_ip,dst_port,ip_protocol,history,conn_state,tcp_flags,packet_nb,packet_nb_orig,packet_nb_resp,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,duration,label
1776878788.261451,172.16.0.5,51362,172.16.0.13,9999,6,ShDd,SF,SFPAEC,10,5,5,583,1569,491,491,0.022422,malicious
1776878788.294017,172.16.0.5,51363,172.16.0.13,9999,6,ShD,SF,SFAEC,18,10,8,218,244,21,21,300.308923,malicious
1776878788.294466,172.16.0.5,51364,172.16.0.13,9999,6,ShDd,SF,SFPAEC,8194,6861,1333,137750,19258499,526,526,5.188786,malicious
1776878795.698149,172.16.0.5,51369,172.16.0.13,9999,6,ShD,SF,SFAEC,18,10,8,218,244,21,21,292.904905,malicious
1776878834.793179,172.16.0.5,51376,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2567,3067,44,1430,0.014822,malicious
1776878834.809163,172.16.0.5,51377,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2670,2876,44,1430,3.03171,malicious
1776878834.816912,172.16.0.5,137,172.16.255.255,137,17,D,OTH,,12,12,0,696,0,58,58,78.234935,malicious
1776878834.820234,172.16.0.5,51378,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,19,11,8,2611,2675,44,1430,0.013272,malicious
1776878837.840209,172.16.0.5,51379,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2695,2876,44,1430,2.861334,malicious
1776878840.701135,172.16.0.5,51380,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,18,10,8,2233,2658,44,1430,2.004212,malicious
1776878842.70618,172.16.0.5,51381,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2275,2678,44,1430,2.751749,malicious
1776878845.458654,172.16.0.5,51382,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2203,2678,44,1430,1.999168,malicious
1776878847.457647,172.16.0.5,51383,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2666,2876,44,1430,5.416618,malicious
1776878852.873797,172.16.0.5,51384,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2198,2678,44,1430,1.738204,malicious
1776878854.611365,172.16.0.5,51385,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2190,2678,44,1430,1.786012,malicious
1776878855.549812,172.16.0.5,51386,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2980,3258,44,1430,2.046477,malicious
1776878855.56447,172.16.0.5,51387,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2669,2695,44,1430,0.010071,malicious
1776878856.396947,172.16.0.5,51388,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2276,2678,44,1430,2.553167,malicious
1776878857.595678,172.16.0.5,51389,172.16.0.13,8444,6,ShDd,SF,SFPAEC,23,11,12,2532,2876,44,1430,5.071956,malicious
