start_time,src_ip,src_port,dst_ip,dst_port,ip_protocol,history,conn_state,tcp_flags,packet_nb,packet_nb_orig,packet_nb_resp,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,duration,label
1776890907.630328,172.16.0.13,8444,172.16.0.5,55073,6,Dd,RSTR,FRPA,9,4,5,242,124,44,158,0.002775,malicious
1776890907.632769,172.16.0.5,55074,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2268,2678,44,1430,2.505151,malicious
1776890910.138664,172.16.0.5,55075,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2229,2678,44,1430,3.000248,malicious
1776890913.138353,172.16.0.5,55076,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,25,13,12,2663,2876,44,1430,4.767262,malicious
1776890916.262667,172.16.0.5,55077,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2588,3060,44,1430,0.014679,malicious
1776890916.27797,172.16.0.5,55078,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2272,2678,44,1430,1.755063,malicious
1776890916.283844,172.16.0.5,137,172.16.255.255,137,17,D,OTH,,6,6,0,348,0,58,58,586.173996,malicious
1776890916.287931,172.16.0.5,55079,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2622,2695,44,1430,0.010594,malicious
1776890917.904994,172.16.0.5,55080,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2266,2678,44,1430,1.04622,malicious
1776890918.032472,172.16.0.5,55081,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2229,2678,44,1430,2.667998,malicious
1776890918.950858,172.16.0.5,55082,172.16.0.13,8444,6,ShDd,SF,SFPAEC,23,11,12,2582,2876,44,1430,4.687359,malicious
1776890920.700107,172.16.0.5,55083,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2269,2678,44,1430,2.010066,malicious
1776890922.70956,172.16.0.5,55084,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2232,2678,44,1430,2.457457,malicious
1776890923.639292,172.16.0.5,55085,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2193,2678,44,1430,1.463096,malicious
1776890925.101996,172.16.0.5,55086,172.16.0.13,8444,6,ShDd,RSTO,SFRPAEC,21,12,9,2194,2678,44,1430,2.195982,malicious
