start_time,src_ip,src_port,dst_ip,dst_port,ip_protocol,history,conn_state,tcp_flags,packet_nb,packet_nb_orig,packet_nb_resp,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,duration,label
1776904040.5955262,172.16.0.5,63901,172.64.41.3,443,17,Dd,OTH,,20,10,10,4585,5039,51,1258,0.012201,benign
1776904040.6068306,172.16.0.5,56647,23.215.0.237,443,6,ShDd,SF,SFPAEC,35,17,18,4023,3074,21,1404,120.100902,benign
1776904055.8017528,172.16.0.5,56648,172.253.122.95,443,6,ShDd,S1,SPAEC,33942,14051,19891,409608,27713200,218,322,3034.785801,benign
1776904059.7853618,13.107.246.40,443,172.16.0.5,56644,6,d,RSTR,RA,2,0,2,0,41,0,0,29.999551,benign
1776904070.2035687,172.16.0.5,56645,20.42.73.25,443,6,Dd,RSTR,RPA,84,53,31,53805,2233,21,1430,153.349223,benign
1776904074.9181607,13.107.213.40,443,172.16.0.5,56646,6,d,RSTR,RA,3,0,3,0,62,0,0,75.001011,benign
1776904087.328513,172.16.0.5,53776,172.64.41.3,443,17,Dd,OTH,,19,10,9,4607,5004,51,1258,0.040975,benign
1776904175.7754784,172.16.0.5,56649,52.123.128.14,443,6,ShDd,RSTR,SRPAEC,18,9,9,2416,1462,94,812,66.065891,benign
1776904270.630594,162.159.61.3,443,172.16.0.5,55110,17,Dd,OTH,,20,9,11,6186,5864,32,1208,0.02293,benign
1776904270.654512,172.16.0.5,56650,20.50.73.11,443,6,ShDd,RSTR,SRPAEC,75,38,37,27336,8291,21,1460,125.272632,benign
1776904270.9569688,172.16.0.5,56651,20.50.73.11,443,6,ShDd,RSTO,SFRPAEC,23,12,11,3251,4095,379,1430,2.863768,benign
1776904419.6854827,162.159.61.3,443,172.16.0.5,54321,17,Dd,OTH,,20,10,10,5033,4606,30,1208,0.017422,benign
1776904419.7036088,172.16.0.5,56652,13.107.246.40,443,6,ShDd,RSTO,SFRPAEC,21,13,8,4332,555,21,1460,150.018815,benign
1776904475.8970275,172.16.0.5,56653,52.123.128.14,443,6,ShDd,RSTR,SRPAEC,52,26,26,2756,10171,94,812,66.936386,benign
1776904746.8075662,172.16.0.5,56654,20.189.173.10,443,6,ShDd,RSTO,SFRPAEC,75,41,34,29979,5693,58,1460,3.57117,benign
1776904776.7600133,172.16.0.5,56655,52.123.128.14,443,6,ShDd,RSTR,SRPAEC,52,26,26,2756,10171,94,812,62.048527,benign
1776904893.040698,172.16.0.5,64929,172.64.41.3,443,17,Dd,OTH,,553,285,268,56852,109456,51,1258,104.002398,benign
1776904893.0582552,172.16.0.5,56657,2.18.67.138,443,6,ShDd,RSTO,SFRPAEC,89,42,47,4636,35528,21,1404,104.036383,benign
1776904893.0651996,172.16.0.5,58326,2.18.67.151,443,17,Dd,OTH,,1956,716,1240,76692,1047383,37,1258,72.576799,benign
1776904893.8305466,172.16.0.5,51601,172.64.41.3,443,17,Dd,OTH,,26,13,13,5202,6250,51,1258,14.411235,benign
1776904893.8616474,172.16.0.5,56658,13.89.179.13,443,6,ShDd,SF,SFPAEC,152,80,72,29306,12224,51,1460,103.243108,benign
1776904900.1651864,172.16.0.5,56659,172.253.115.190,443,6,ShDd,SF,SFPAEC,27,14,13,4009,9119,21,1432,63.286671,benign
1776904900.2111664,172.16.0.5,56660,172.253.115.190,443,6,ShDd,SF,SFPAEC,3292,1417,1875,42440,2618874,21,1430,96.835796,benign
1776904900.2314413,172.16.0.5,56661,20.42.65.89,443,6,ShDd,SF,SFPAEC,434,268,166,284670,16806,21,1460,96.838321,benign
1776904900.3453925,172.16.0.5,51516,172.253.115.190,443,17,Dd,OTH,,1274,348,926,38702,1045498,39,1258,15.984361,benign
1776904900.3597832,172.16.0.5,56662,192.178.155.119,443,6,ShDd,SF,SFPAEC,38,21,17,5137,7485,21,1432,96.688813,benign
1776904900.3620994,172.16.0.5,56663,64.233.180.95,443,6,ShDd,SF,SFPAEC,82,40,42,5677,28787,21,1432,96.686955,benign
1776904900.6330967,172.16.0.5,54800,172.253.115.94,443,17,Dd,OTH,,295,149,146,19894,130917,39,1258,2.226786,benign
1776904900.6863754,172.16.0.5,56664,172.253.62.84,443,6,ShDd,SF,SFPAEC,47,23,24,5693,10014,21,1432,96.361442,benign
1776904900.7152884,172.16.0.5,56665,20.42.65.89,443,6,ShDd,RSTO,SFRPAEC,13,8,5,3363,759,443,1430,0.500926,benign
1776904900.7560143,172.16.0.5,57858,172.253.62.84,443,17,Dd,OTH,,33,14,19,5498,13378,39,1258,0.136451,benign
1776904901.5434098,172.16.0.5,59003,172.253.122.155,443,17,Dd,OTH,,29,12,17,5158,9849,40,1258,0.165699,benign
1776904901.6712396,142.251.150.119,443,172.16.0.5,53920,17,Dd,OTH,,67,37,30,38591,6182,31,1258,0.254267,benign
1776904901.6804,172.16.0.5,56666,150.171.27.11,443,6,ShDd,SF,SFPAEC,49,22,27,4720,7370,21,1460,95.366363,benign
1776904902.1074204,172.16.0.5,64791,64.233.180.95,443,17,Dd,OTH,,22,10,12,4349,9083,41,1258,0.037986,benign
1776904902.1307714,172.16.0.5,56667,142.250.105.94,443,6,ShDd,SF,SFPAEC,44,24,20,5172,7673,21,1432,94.924954,benign
1776904902.180256,172.16.0.5,56668,142.250.105.94,443,6,ShDd,SF,SFPAEC,33,18,15,3198,7533,21,1430,94.87414,benign
1776904902.3961637,142.250.105.94,443,172.16.0.5,50490,17,Dd,OTH,,41,23,18,16980,5905,31,1258,0.503959,benign
1776904902.4768896,172.16.0.5,56669,172.217.215.93,443,6,ShDd,SF,SFPAEC,39,19,20,4996,10316,21,1432,94.57869,benign
1776904902.677891,142.250.105.94,443,172.16.0.5,59599,17,Dd,OTH,,42,25,17,21129,5216,30,1258,0.197175,benign
1776904902.706741,172.16.0.5,56670,142.251.163.149,443,6,ShDd,SF,SFPAEC,37,20,17,5027,7574,21,1432,94.34288,benign
1776904903.433014,172.16.0.5,56671,13.107.246.40,443,6,ShDd,RSTO,SFRPAEC,17,11,6,2638,549,21,1430,150.035879,benign
1776904903.433298,172.16.0.5,56672,13.32.241.9,443,6,ShDd,SF,SFPAEC,30,17,13,5215,2351,21,1460,93.620705,benign
1776904903.4349613,172.16.0.5,56673,204.79.197.203,443,6,ShDd,SF,SFPAEC,225,93,132,30308,47575,21,1460,93.608561,benign
1776904903.476354,172.16.0.5,56674,23.221.227.22,443,6,ShDd,RSTO,SFRPAEC,301,123,178,9907,202136,21,1404,93.578631,benign
1776904903.5053911,172.16.0.5,56675,23.221.227.22,443,6,ShDd,RSTO,SFRPAEC,127,57,70,6247,65569,21,1404,93.545393,benign
1776904903.5373785,172.16.0.5,56676,150.171.27.10,443,6,ShDd,RSTR,SFRPAEC,41,17,24,5804,7221,21,1460,62.071012,benign
1776904903.5378184,172.16.0.5,56677,2.18.67.133,443,6,ShDd,SF,SFPAEC,18,9,9,2295,1884,100,1404,10.816646,benign
1776904903.5382218,172.16.0.5,56678,2.18.67.133,443,6,ShDd,SF,SFPAEC,18,9,9,2391,1884,100,1404,10.816704,benign
1776904903.5394552,172.16.0.5,56679,150.171.27.10,443,6,ShDd,RSTR,SFRPAEC,20,9,11,3467,696,21,1430,60.50186,benign
1776904903.559781,172.16.0.5,49528,2.18.67.156,443,17,Dd,OTH,,869,280,589,24299,618475,39,1258,6.332618,benign
1776904904.5612051,172.16.0.5,60563,2.18.67.138,443,17,Dd,OTH,,1643,558,1085,37808,1208439,37,1258,9.196619,benign
1776904904.576472,172.16.0.5,59776,23.55.176.238,443,17,Dd,OTH,,75,31,44,5825,14491,39,1258,6.223084,benign
1776904904.5832474,172.16.0.5,56680,2.18.67.138,443,6,ShDd,SF,SFPAEC,30,15,15,2213,7409,100,1404,16.388168,benign
1776904904.5947316,172.16.0.5,56681,23.55.176.238,443,6,ShDd,SF,SFPAEC,32,16,16,2317,7037,100,1404,16.37673,benign
1776904904.5957015,172.16.0.5,56682,20.42.65.89,443,6,ShDd,SF,SFPAEC,51,26,25,4394,7489,21,1430,92.53654,benign
1776904906.0810983,142.251.150.119,443,172.16.0.5,62102,17,Dd,OTH,,3297,2388,909,2615365,109924,30,1258,51.280409,benign
1776904906.2650144,172.16.0.5,53172,172.253.115.94,443,17,Dd,OTH,,114,43,71,6198,81558,39,1258,0.07312,benign
1776904906.2752528,172.16.0.5,56683,142.250.105.94,443,6,ShDd,SF,SFPAEC,156,69,87,4791,96834,21,1430,90.781646,benign
1776904906.2757707,172.16.0.5,56684,142.250.105.94,443,6,ShDd,RSTO,SFRPAEC,15,9,6,1981,4197,399,1430,0.053221,benign
1776904906.2760797,172.16.0.5,56685,142.250.105.94,443,6,ShDd,RSTO,SFRPAEC,15,9,6,1949,4197,367,1430,0.053229,benign
1776904906.2775228,172.16.0.5,56686,142.250.105.94,443,6,ShDd,RSTO,SFRPAEC,16,9,7,1949,4218,367,1430,0.052089,benign
1776904906.299993,172.16.0.5,56687,142.250.105.94,443,6,Sh,RSTO,SRAEC,3,2,1,52,32,0,0,0.016322,benign
1776904906.415523,172.16.0.5,56688,142.250.31.95,443,6,ShDd,SF,SFPAEC,44,21,23,4663,12939,21,1432,90.630668,benign
1776904906.4687448,142.250.31.95,443,172.16.0.5,51125,17,Dd,OTH,,34,19,15,10843,6030,32,1258,17.033865,benign
1776904906.4904487,172.16.0.5,56689,150.171.28.11,443,6,ShDd,SF,SFPAEC,84,40,44,6439,14283,21,1460,90.557014,benign
1776904906.5671933,142.250.105.94,443,172.16.0.5,57616,17,Dd,OTH,,135,84,51,95524,6714,29,1258,17.283654,benign
1776904906.5678375,142.251.150.119,443,172.16.0.5,59054,17,Dd,OTH,,77,50,27,53576,4469,31,1258,0.297714,benign
1776904907.4226701,172.16.0.5,56690,142.250.9.101,443,6,ShDd,SF,SFPAEC,33,17,16,4609,7776,21,1432,89.634807,benign
1776904907.5063727,142.250.9.101,443,172.16.0.5,52502,17,Dd,OTH,,31,17,14,8662,7534,31,1258,16.651229,benign
1776904908.212935,172.16.0.5,56691,23.221.227.44,443,6,ShDd,RSTO,SFRPAEC,331,138,193,14058,230220,21,1404,88.836051,benign
1776904908.2424555,172.16.0.5,56692,172.183.192.109,443,6,ShDd,RSTR,SFRPAEC,22,12,10,3858,1869,21,1460,120.15759,benign
1776904908.3506255,172.16.0.5,56693,150.171.27.10,443,6,ShDd,RSTR,SFRPAEC,56,27,29,4167,11026,21,1430,88.704009,benign
1776904908.3530455,172.16.0.5,56694,150.171.28.12,443,6,ShDd,RSTR,SFRPAEC,23,11,12,5765,752,21,1460,88.702032,benign
1776904908.6254966,172.16.0.5,56695,13.107.246.40,443,6,ShDd,RSTO,SFRPAEC,18,11,7,2574,569,21,1430,150.046445,benign
1776904909.0617197,172.16.0.5,56696,204.79.197.203,443,6,ShDd,RSTR,SFRPAEC,44,17,27,2845,9363,21,1430,87.991318,benign
1776904909.4888296,172.16.0.5,56697,172.183.192.109,443,6,ShDd,RSTR,SFRPAEC,19,10,9,2042,1813,21,1430,120.161095,benign
