packet_nb_orig,packet_nb_resp,tcp_flag_A,tcp_flag_F,tcp_flag_P,tcp_flag_R,tcp_flag_S,tcp_flag_U,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,label
9,6,1,1,1,1,1,0,1981,4197,399,1430,benign
9,6,1,1,1,1,1,0,1949,4197,367,1430,benign
9,7,1,1,1,1,1,0,1949,4218,367,1430,benign
21,23,1,1,1,0,1,0,4663,12939,21,1432,benign
40,44,1,1,1,0,1,0,6439,14283,21,1460,benign
17,16,1,1,1,0,1,0,4609,7776,21,1432,benign
138,193,1,1,1,1,1,0,14058,230220,21,1404,benign
11,7,1,1,1,1,1,0,2574,569,21,1430,benign
93,143,1,1,1,0,1,0,8185,105034,21,1420,benign
14,10,1,1,1,0,1,0,2184,4272,21,1420,benign
15,4,1,1,1,1,1,0,2047,581,343,1420,benign
867,1238,1,1,1,0,1,0,28133,1521980,21,1420,benign
7,5,1,1,1,1,1,0,1983,1624,439,1420,benign
28,26,1,1,1,0,1,0,3189,10271,21,1420,benign
14,13,1,1,1,1,1,0,4952,4830,21,1480,benign
14,11,1,1,1,0,1,0,2215,4274,21,1420,benign
14,11,1,1,1,0,1,0,2160,4288,21,1420,benign
14,11,1,1,1,0,1,0,2124,4292,21,1420,benign
13,11,1,1,1,0,1,0,3819,6632,21,1432,benign
44,45,1,1,1,0,1,0,4835,23106,21,1430,benign
10,9,1,1,1,1,1,0,2054,6545,94,1430,benign
11,8,1,1,1,1,1,0,2118,6523,94,1430,benign
11,10,1,1,1,0,1,0,2075,6575,21,1430,benign
10,9,1,1,1,1,1,0,2086,6545,94,1430,benign
227,330,1,1,1,0,1,0,8066,444097,51,1430,benign
15,12,1,1,1,1,1,0,3944,9041,406,1432,benign
16,12,1,1,1,0,1,0,4107,4031,21,1480,benign
18,17,1,1,1,0,1,0,5382,7214,22,1432,benign
17,16,1,1,1,0,1,0,2643,8554,51,1430,benign
14,10,1,1,1,0,1,0,2236,3954,21,1420,benign
15,13,1,1,1,0,1,0,3977,9118,21,1432,benign
11,11,1,1,1,1,1,0,2095,9031,94,1430,benign
73,78,1,1,1,0,1,0,4436,96450,21,1430,benign
11,10,1,1,1,1,1,0,2095,9012,94,1430,benign
12,9,1,1,1,1,1,0,3702,5586,333,1432,benign
31,34,1,1,1,0,1,0,3787,13330,21,1430,benign
10,9,1,1,1,1,1,0,2011,6511,94,1430,benign
10,9,1,1,1,1,1,0,2075,6512,94,1430,benign
27,33,1,1,1,0,1,0,5525,24292,21,1432,benign
161,200,1,1,1,0,1,0,9021,263667,21,1430,benign
15,12,1,1,1,0,1,0,3853,7027,21,1432,benign
25,24,1,1,1,0,1,0,7122,8368,21,1432,benign
60,99,1,1,1,0,1,0,5795,110275,21,1432,benign
30,29,1,1,1,1,1,0,5108,27271,21,1480,benign
10,5,1,1,1,1,1,0,2021,728,21,1420,benign
18,17,1,1,1,0,1,0,3017,6491,21,1420,benign
38,58,1,1,1,0,1,0,3942,65139,21,1430,benign
22,21,1,1,1,0,1,0,5497,8801,21,1432,benign
12,9,1,1,1,1,1,0,3852,5597,408,1432,benign
20,19,1,1,1,0,1,0,3169,9324,21,1430,benign
19,19,1,1,1,0,1,0,4882,9680,21,1432,benign
23,23,1,1,1,1,1,0,3309,10551,51,1404,benign
14,16,1,1,1,0,1,0,2160,7410,100,1404,benign
13,8,1,1,1,1,1,0,4329,1666,21,1460,benign
24,34,1,1,1,0,1,0,2886,13159,58,1430,benign
27,30,1,1,1,0,1,0,7113,11321,51,1460,benign
24,24,1,1,1,0,1,0,9224,8361,178,1460,benign
13,12,1,1,1,0,1,0,3808,9104,94,1432,benign
25,34,1,1,1,0,1,0,3959,29618,51,1430,benign
13,10,1,1,1,1,1,0,3860,5983,402,1432,benign
21,26,1,1,1,0,1,0,3188,12255,51,1430,benign
11,10,1,1,1,0,1,0,2064,6947,110,1430,benign
12,10,1,1,1,0,1,0,3858,5877,94,1432,benign
17,18,1,1,1,0,1,0,4078,6763,51,1430,benign
17,16,1,1,1,0,1,0,1622,4614,58,567,benign
20,20,1,1,1,0,1,0,5653,5238,94,1440,benign
20,20,1,1,1,0,1,0,5732,10914,51,1480,benign
16,17,1,1,1,0,1,0,2788,4862,51,1234,benign
18,19,1,1,1,1,1,0,2916,5124,58,968,benign
