packet_nb_orig,packet_nb_resp,tcp_flag_A,tcp_flag_F,tcp_flag_P,tcp_flag_R,tcp_flag_S,tcp_flag_U,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,label
119,175,1,1,1,1,1,0,7846,224769,51,1404,benign
27,27,1,1,1,0,1,0,5173,7468,58,1460,benign
16,16,1,1,1,0,1,0,2206,9169,100,1404,benign
13,8,1,1,1,1,1,0,4323,1483,21,1460,benign
13,8,1,1,1,1,1,0,4557,639,21,1460,benign
65,86,1,1,1,1,1,0,7198,82363,51,1404,benign
41,50,1,1,1,1,1,0,5611,39517,51,1404,benign
19,16,1,1,1,0,1,0,4857,8165,51,1460,benign
252,167,1,1,1,1,1,0,280207,14615,94,1460,benign
24,33,1,1,1,0,1,0,5233,10080,51,1460,benign
16,15,1,1,1,0,1,0,2300,9117,100,1404,benign
16,15,1,1,1,0,1,0,2236,9119,100,1404,benign
8,6,1,1,1,1,1,0,3363,779,443,1430,benign
8,6,1,1,1,1,1,0,3075,779,347,1430,benign
144,169,1,1,1,0,1,0,51117,53739,29,1430,benign
8,6,1,1,1,1,1,0,3075,779,347,1430,benign
15,11,1,1,1,0,1,0,4022,4326,84,1472,benign
13,9,1,1,1,0,1,0,2215,4252,84,1430,benign
1905,3092,1,1,1,1,1,0,47453,4381498,100,1404,benign
310,454,1,1,1,1,1,0,10655,625533,100,1404,benign
3470,5582,1,1,1,1,1,0,85172,7926089,100,1404,benign
20,20,1,1,1,1,1,0,4303,5249,58,1189,benign
17,17,1,1,1,0,1,0,2787,4862,51,1213,benign
11936,23106,1,1,1,0,1,0,294803,32416992,218,602,benign
18,19,1,1,1,1,1,0,2912,5124,58,967,benign
96,164,1,1,1,1,1,0,6949,209821,51,1404,benign
22,26,1,1,1,0,1,0,4805,7425,58,1460,benign
13,8,1,1,1,1,1,0,4419,1661,21,1460,benign
16,15,1,1,1,0,1,0,2270,9152,100,1404,benign
29,30,1,1,1,1,1,0,4935,18244,51,1404,benign
49,54,1,1,1,1,1,0,4737,46512,51,1404,benign
11,7,1,1,1,1,1,0,2638,583,21,1430,benign
17,17,1,1,1,0,1,0,4845,8185,51,1460,benign
10,8,1,1,1,1,1,0,4569,2052,413,1460,benign
26,32,1,1,1,0,1,0,5189,10062,51,1460,benign
16,15,1,1,1,0,1,0,2300,9117,100,1404,benign
16,15,1,1,1,0,1,0,2300,9119,100,1404,benign
13,11,1,1,1,1,1,0,3187,4095,347,1430,benign
198,124,1,1,1,0,1,0,216770,14487,94,1430,benign
56,83,1,1,1,0,1,0,16081,29218,51,1430,benign
13,10,1,1,1,0,1,0,2183,4271,84,1420,benign
13,10,1,1,1,0,1,0,2215,4270,84,1420,benign
24,22,1,1,1,1,1,0,6465,5041,50,1460,benign
98,161,1,1,1,1,1,0,7699,203632,51,1404,benign
20,25,1,1,1,0,1,0,4817,7406,58,1460,benign
17,17,1,1,1,0,1,0,2334,9289,100,1404,benign
13,8,1,1,1,1,1,0,4611,1661,21,1460,benign
11,6,1,1,1,1,1,0,2702,563,21,1430,benign
22,21,1,1,1,1,1,0,4352,12372,51,1404,benign
35,43,1,1,1,1,1,0,4094,37458,51,1404,benign
15,14,1,1,1,0,1,0,4008,7648,84,1460,benign
118,81,1,1,1,0,1,0,110694,13425,94,1460,benign
24,32,1,1,1,0,1,0,5137,10060,51,1460,benign
16,16,1,1,1,0,1,0,2236,9140,100,1404,benign
11,13,1,1,1,0,1,0,2128,6258,100,1404,benign
8,6,1,1,1,1,1,0,3075,779,347,1430,benign
8,6,1,1,1,1,1,0,3075,779,347,1430,benign
59,86,1,1,1,0,1,0,16086,29042,51,1430,benign
13,10,1,1,1,0,1,0,2151,4272,84,1420,benign
13,10,1,1,1,0,1,0,2151,4271,84,1420,benign
117,159,1,1,1,1,1,0,7999,205426,51,1404,benign
14,14,1,1,1,0,1,0,2162,7386,100,1404,benign
21,26,1,1,1,0,1,0,4965,7426,58,1460,benign
11,7,1,1,1,1,1,0,2738,1605,21,1430,benign
11,7,1,1,1,1,1,0,2702,1427,21,1430,benign
23,23,1,1,1,1,1,0,4338,12410,51,1404,benign
33,38,1,1,1,1,1,0,3936,32591,51,1404,benign
14,14,1,1,1,0,1,0,3848,7648,84,1460,benign
128,96,1,1,1,0,1,0,133221,11163,94,1460,benign
21,30,1,1,1,0,1,0,3547,9983,51,1430,benign
16,15,1,1,1,0,1,0,2204,9118,100,1404,benign
11,12,1,1,1,0,1,0,2096,6236,100,1404,benign
8,6,1,1,1,1,1,0,3171,779,379,1430,benign
8,6,1,1,1,1,1,0,3171,779,379,1430,benign
58,81,1,1,1,0,1,0,15956,28060,51,1430,benign
9,6,1,1,1,1,1,0,3287,779,411,1430,benign
13,10,1,1,1,0,1,0,3790,3780,303,1472,benign
11,8,1,1,1,0,1,0,2111,3704,441,1430,benign
20,20,1,1,1,1,1,0,4477,5249,58,1361,benign
16,17,1,1,1,0,1,0,1590,4635,58,567,benign
13,12,1,1,1,0,1,0,3133,2415,94,812,benign
7326,14159,1,0,1,0,1,0,180996,19799510,218,602,benign
17,18,1,1,1,0,1,0,2890,5061,58,965,benign
