packet_nb_orig,packet_nb_resp,tcp_flag_A,tcp_flag_F,tcp_flag_P,tcp_flag_R,tcp_flag_S,tcp_flag_U,a_l3_payload_size_orig_total,a_l3_payload_size_resp_total,a_l3_payload_size_orig_min,a_l3_payload_size_orig_max,label
2085,3295,1,1,1,0,1,0,57219,4622103,218,602,benign
8,6,1,1,1,1,1,0,3634,704,311,1460,benign
16,13,1,1,1,1,1,0,2157,8573,389,1404,benign
8,6,1,1,1,1,1,0,3628,704,308,1460,benign
12,8,1,1,1,1,1,0,2030,6956,390,1404,benign
50,65,1,1,1,0,1,0,20398,27790,178,1460,benign
19,25,1,1,1,0,1,0,3005,7370,58,1430,benign
48,61,1,1,1,1,1,0,8492,64603,51,1404,benign
33,38,1,1,1,0,1,0,3466,14823,58,1430,benign
13,7,1,1,1,1,1,0,4515,1641,21,1460,benign
17,19,1,1,1,1,1,0,3875,8633,51,1404,benign
452,604,1,1,1,1,1,0,15968,832037,51,1404,benign
11,6,1,1,1,1,1,0,2638,563,21,1430,benign
20,22,1,1,1,1,1,0,3900,10659,51,1404,benign
14,14,1,1,1,1,1,0,4394,4179,332,1460,benign
13,12,1,1,1,1,1,0,4389,3067,333,1460,benign
16,14,1,1,1,1,1,0,2206,9092,100,1404,benign
15,14,1,1,1,1,1,0,2217,9158,100,1404,benign
18,17,1,1,1,0,1,0,4824,8185,51,1460,benign
14,10,1,1,1,1,1,0,3529,3969,100,1404,benign
9,7,1,1,1,1,1,0,4441,823,381,1460,benign
11,6,1,1,1,1,1,0,2638,563,21,1430,benign
11,6,1,1,1,1,1,0,2674,1585,21,1430,benign
56,45,1,1,1,1,1,0,42487,10721,51,1430,benign
825,965,1,1,1,1,1,0,33988,1285222,51,1404,benign
89,109,1,1,1,1,1,0,7253,124806,51,1404,benign
578,679,1,1,1,1,1,0,20234,927156,51,1404,benign
27,36,1,1,1,0,1,0,5017,11948,51,1430,benign
23,32,1,1,1,0,1,0,5213,10062,51,1460,benign
17,18,1,1,1,1,1,0,4503,6753,51,1480,benign
22,27,1,1,1,0,1,0,5221,6753,51,1460,benign
404,512,1,1,1,1,1,0,16039,685226,51,1404,benign
7,7,1,1,1,1,1,0,2438,787,330,1430,benign
21,20,1,1,1,0,1,0,3277,5695,58,1430,benign
56,83,1,1,1,1,1,0,5818,79545,51,1404,benign
7,7,1,1,1,1,1,0,2450,787,336,1430,benign
17,16,1,1,1,1,1,0,2256,10294,100,1404,benign
15,16,1,1,1,1,1,0,2268,10179,100,1404,benign
7,7,1,1,1,1,1,0,2642,787,432,1430,benign
7,7,1,1,1,1,1,0,2634,787,428,1430,benign
19,13,1,1,1,0,1,0,5814,6740,58,1480,benign
55,79,1,1,1,0,1,0,15645,28115,51,1430,benign
12,7,1,1,1,1,1,0,2750,1759,21,1430,benign
11,6,1,1,1,1,1,0,2738,1585,21,1430,benign
113,86,1,1,1,0,1,0,123490,11848,94,1430,benign
167,208,1,1,1,1,1,0,8558,256422,51,1404,benign
24,23,1,1,1,1,1,0,4471,12583,51,1404,benign
51,51,1,1,1,1,1,0,6661,50688,51,1404,benign
8,6,1,1,1,1,1,0,4308,704,648,1460,benign
6,5,1,1,1,1,1,0,1956,648,434,1430,benign
17,19,1,1,1,0,1,0,3471,2113,58,1430,benign
19,22,1,1,1,0,1,0,3001,7073,58,1430,benign
13,7,1,1,1,1,1,0,4557,619,21,1460,benign
11,6,1,1,1,1,1,0,2674,1407,21,1430,benign
12,7,1,1,1,1,1,0,2648,1678,21,1430,benign
11,6,1,1,1,1,1,0,2680,483,21,1430,benign
12,6,1,1,1,1,1,0,2648,1660,21,1430,benign
11,7,1,1,1,1,1,0,2574,583,21,1430,benign
11,7,1,1,1,1,1,0,2674,1605,21,1430,benign
12,7,1,1,1,1,1,0,2776,1681,21,1430,benign
11,7,1,1,1,1,1,0,2616,502,21,1430,benign
11,6,1,1,1,1,1,0,2680,427,21,1430,benign
82,68,1,1,1,0,1,0,77597,12011,94,1460,benign
171,234,1,1,1,1,1,0,9916,293388,51,1404,benign
27,33,1,1,1,1,1,0,5693,29195,51,1404,benign
55,77,1,1,1,1,1,0,5403,90857,51,1404,benign
10,9,1,1,1,0,1,0,4242,1791,84,1460,benign
17,17,1,1,1,0,1,0,1817,4840,51,396,benign
17,18,1,1,1,1,1,0,1810,4902,51,396,benign
19,25,1,1,1,0,1,0,3069,7369,58,1430,benign
119,155,1,1,1,1,1,0,7667,197045,51,1404,benign
16,16,1,1,1,0,1,0,2302,9171,100,1404,benign
11,6,1,1,1,1,1,0,2546,1585,21,1430,benign
11,6,1,1,1,1,1,0,2702,1407,21,1430,benign
22,23,1,1,1,1,1,0,3930,12510,51,1404,benign
31,40,1,1,1,1,1,0,3807,31429,51,1404,benign
13,14,1,1,1,0,1,0,3932,7648,84,1460,benign
129,99,1,1,1,0,1,0,135205,11354,64,1460,benign
24,33,1,1,1,0,1,0,5329,10080,51,1460,benign
8,6,1,1,1,1,1,0,3075,779,347,1430,benign
11,13,1,1,1,0,1,0,2032,7369,100,1404,benign
14,15,1,1,1,0,1,0,2204,8550,100,1404,benign
57,84,1,1,1,0,1,0,15647,28987,51,1430,benign
8,6,1,1,1,1,1,0,3363,779,443,1430,benign
8,6,1,1,1,1,1,0,3363,779,443,1430,benign
13,10,1,1,1,0,1,0,2183,4270,84,1420,benign
9,8,1,1,1,0,1,0,1991,4232,84,1430,benign
18,15,1,1,1,0,1,0,2099,5022,58,1166,benign
26,25,1,1,1,1,1,0,9177,5486,50,1460,benign
8517,16484,1,1,1,0,1,0,210351,23090253,218,602,benign
126,163,1,1,1,1,1,0,7879,203532,51,1404,benign
27,26,1,1,1,0,1,0,5037,7448,58,1460,benign
13,8,1,1,1,1,1,0,4323,1661,21,1460,benign
16,15,1,1,1,0,1,0,2302,9150,100,1404,benign
11,7,1,1,1,1,1,0,2702,583,21,1430,benign
23,22,1,1,1,1,1,0,3886,12492,51,1404,benign
37,42,1,1,1,1,1,0,4170,36060,51,1404,benign
13,14,1,1,1,0,1,0,3804,7648,84,1460,benign
177,103,1,1,1,0,1,0,187806,13731,51,1460,benign
28,30,1,1,1,0,1,0,3675,10187,51,1430,benign
15,13,1,1,1,1,1,0,2216,9039,100,1404,benign
16,13,1,1,1,1,1,0,2204,9040,100,1404,benign
54,81,1,1,1,0,1,0,15177,28098,51,1430,benign
11,9,1,1,1,0,1,0,2111,3723,441,1430,benign
8,7,1,1,1,0,1,0,1907,3684,345,1430,benign
11,8,1,1,1,0,1,0,2015,3703,345,1430,benign
133,170,1,1,1,1,1,0,8018,207118,51,1404,benign
19,24,1,1,1,0,1,0,3101,7350,58,1430,benign
13,8,1,1,1,1,1,0,4419,1483,21,1460,benign
11,6,1,1,1,1,1,0,2574,563,21,1430,benign
17,18,1,1,1,1,1,0,3660,9491,51,1404,benign
60,80,1,1,1,1,1,0,4914,78611,51,1404,benign
14,14,1,1,1,0,1,0,4028,7648,84,1460,benign
157,115,1,1,1,0,1,0,165823,14435,63,1460,benign
31,31,1,1,1,0,1,0,5649,10245,51,1460,benign
16,16,1,1,1,0,1,0,2300,9137,100,1404,benign
16,15,1,1,1,0,1,0,2204,9118,100,1404,benign
8,6,1,1,1,1,1,0,3363,779,443,1430,benign
8,6,1,1,1,1,1,0,2504,1976,347,1430,benign
56,76,1,1,1,0,1,0,15511,28440,51,1430,benign
11,9,1,1,1,0,1,0,2079,3722,409,1430,benign
11,8,1,1,1,0,1,0,2047,3703,387,1420,benign
27,26,1,1,1,1,1,0,2808,9368,94,828,benign
28,27,1,1,1,0,1,0,2796,10189,94,812,benign
